EXECUTION TIME FOR second ORDENATION METHOD (based on insertion sort)

100; 3
200; 12
300; 14
400; 31
500; 37
600; 37
700; 39
800; 30
900; 33
1000; 31
1100; 31
1200; 37
1300; 43
1400; 52
1500; 62
1600; 64
1700; 72
1800; 80
1900; 88
2000; 98
2100; 116
2200; 117
2300; 131
2400; 144
2500; 160
2600; 167
2700; 176
2800; 193
2900; 204
3000; 216
3100; 247
3200; 268
3300; 287
3400; 291
3500; 293
3600; 310
3700; 329
3800; 346
3900; 364
4000; 383
4100; 399
4200; 444
4300; 459
4400; 461
4500; 480
4600; 504
4700; 521
4800; 567
4900; 611
5000; 600
